
************************ Statistics from 2018-02-26 14:00:00.006 until 2018-02-26 14:15:01.981 ************************
Operations executed: 1876
Different operation types executed: 36
Operations average time (in millis): 79
The 10 worst operations are:
# Millis:   16214 # On: 2018-02-26 14:01:16.317 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4aca165731876067aebfdefc5ba8ef19 # Name: CoreOperationGetLicenseMiscInformation
# Millis:   16142 # On: 2018-02-26 14:01:16.304 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 43d8709d24ab143fb76b28e39985652f # Name: CoreOperationGetLicenseMiscInformation
# Millis:   15881 # On: 2018-02-26 14:01:16.310 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4e765e2d38b0a1bba0ed9089538de4b3 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8702 # On: 2018-02-26 14:13:16.318 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4d8895d74e680a81ac5760f5c28edd25 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8684 # On: 2018-02-26 14:04:16.318 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4f7e15b0a57410728c3b496bbce5f610 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8636 # On: 2018-02-26 14:13:16.311 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4fcf49be7aa9d7958d4f2569c2be4076 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8605 # On: 2018-02-26 14:04:16.322 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4ec887f3d3ffe7eb9451302fa76032af # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8487 # On: 2018-02-26 14:13:16.304 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 47895891c82e809eac7716ddf2d8013e # Name: CoreOperationGetLicenseMiscInformation
# Millis:    8440 # On: 2018-02-26 14:04:16.322 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 48996882204b9e4e915586101ec94f99 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    7032 # On: 2018-02-26 14:09:32.366 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomers # CallerApp: UIServer # CustomerID: -2147483648
RequestID: 4517ca4621a2be99a688908f7c98e13d # Name: CmdbCustomerQueryGetAllCustomers
 *** All operations statistics ***
# Avg (ms):    6184 # Max (ms):   16214 # Count:    20 # Last called: 2018-02-26 14:13:16.318 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
# Avg (ms):     258 # Max (ms):    7032 # Count:    58 # Last called: 2018-02-26 14:14:54.100 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomers # CallerApp: UIServer # CustomerID: -2147483648
# Avg (ms):     159 # Max (ms):    6065 # Count:    58 # Last called: 2018-02-26 14:14:54.102 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomerConfigs # CallerApp: UIServer # CustomerID: -2147483648
# Avg (ms):      50 # Max (ms):      50 # Count:     1 # Last called: 2018-02-26 14:00:00.001 # Class: appilog.framework.shared.scheduler.operation.execute.impl.SchedulerOperationRunExecution # CallerApp: MAM_ # CustomerID: 1
# Avg (ms):      50 # Max (ms):      50 # Count:     1 # Last called: 2018-02-26 14:00:00.001 # Class: com.hp.ucmdb.systemhealth.operations.DumpKpiDashboardOperation # CallerApp: CMDB # CustomerID: 1
# Avg (ms):      43 # Max (ms):      43 # Count:     1 # Last called: 2018-02-26 14:02:57.771 # Class: com.mercury.topaz.cmdb.server.monitors.operation.command.impl.MonitorsCommandCollectInfo # CallerApp: CMDB # CustomerID: -2147483648
