
************************ Statistics from 2018-02-26 10:45:00.001 until 2018-02-26 11:00:00.006 ************************
Operations executed: 1884
Different operation types executed: 35
Operations average time (in millis): 26
The 10 worst operations are:
# Millis:   10224 # On: 2018-02-26 10:48:53.162 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 44b9097ac56fd5009a2683ad61ba8be5 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    7010 # On: 2018-02-26 10:46:16.308 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4cd24be0a97cff30991c7ac55dfcbbcf # Name: CoreOperationGetLicenseMiscInformation
# Millis:    6907 # On: 2018-02-26 10:46:16.315 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 47b902acb72372c48e27c81f0c6b2c39 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    5968 # On: 2018-02-26 10:45:53.165 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4e27613a1e3a6e629b7eaa6548be5ba3 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    5610 # On: 2018-02-26 10:59:44.069 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomers # CallerApp: UIServer # CustomerID: -2147483648
RequestID: 46f2b638edf7dbb3a75dcc3d2b11a608 # Name: CmdbCustomerQueryGetAllCustomers
# Millis:    1796 # On: 2018-02-26 10:51:42.024 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomerConfigs # CallerApp: UIServer # CustomerID: -2147483648
RequestID: 4b69b4873d0985d2b5ac873b3c8bb5d3 # Name: CmdbCustomerQueryGetAllCustomerConfigs
# Millis:    1696 # On: 2018-02-26 10:46:16.321 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 4cff9173afd98038bb559e72b61e9f86 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    1040 # On: 2018-02-26 10:52:16.323 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 474cc122080c0aeabb6c31accce5eca8 # Name: CoreOperationGetLicenseMiscInformation
# Millis:    1035 # On: 2018-02-26 10:58:16.320 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 416b8543a318ef98bf990f9e84705511 # Name: CoreOperationGetLicenseMiscInformation
# Millis:     976 # On: 2018-02-26 10:49:16.310 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
RequestID: 43fb31b917c056f48cddda03ce2eae6a # Name: CoreOperationGetLicenseMiscInformation
 *** All operations statistics ***
# Avg (ms):    2156 # Max (ms):   10224 # Count:    20 # Last called: 2018-02-26 10:58:16.320 # Class: appilog.framework.shared.core.operation.query.impl.CoreOperationGetLicenseMiscInformation # CallerApp: UCMDB Browser on hcm-ucmdb-browser-608055954-41pjt: integration user,loggedInUser:{UISysadmin###UCMDB} # CustomerID: 1
# Avg (ms):      94 # Max (ms):    5610 # Count:    60 # Last called: 2018-02-26 10:59:49.696 # Class: com.mercury.topaz.cmdb.shared.manage.customer.operation.query.impl.CmdbCustomerQueryGetAllCustomers # CallerApp: UIServer # CustomerID: -2147483648
# Avg (ms):      50 # Max (ms):      50 # Count:     1 # Last called: 2018-02-26 10:47:57.769 # Class: com.mercury.topaz.cmdb.server.monitors.operation.command.impl.MonitorsCommandCollectInfo # CallerApp: CMDB # CustomerID: -2147483648
